_id,city_code,city_name,name,street_type
63fd0ccf8cbfb5572cacb52f,7110100000,Черкаси,Різдвяна,вулиця
63fd0ccf8cbfb5572cacb53b,7110100000,Черкаси,Сакко і Ванцетті,провулок
63fd0ccf8cbfb5572cacb525,7110100000,Черкаси,Пушкіна,узвіз
63fd0ccf8cbfb5572cacb53e,7110100000,Черкаси,Свободи,провулок
63fd0ccf8cbfb5572cacb556,7110100000,Черкаси,Старшого сержанта Кульбашного,провулок
63fd0ccf8cbfb5572cacb529,7110100000,Черкаси,Радянський,провулок
63fd0ccf8cbfb5572cacb560,7110100000,Черкаси,Судовий,провулок
63fd0ccf8cbfb5572cacb533,7110100000,Черкаси,Розкопна,вулиця
63fd0ccf8cbfb5572cacb561,7110100000,Черкаси,Сумгаїтська,вулиця
63fd0ccf8cbfb5572cacb53a,7110100000,Черкаси,Садовий,провулок
63fd0ccf8cbfb5572cacb56f,7110100000,Черкаси,Транспортний,провулок
63fd0ccf8cbfb5572cacb57a,7110100000,Черкаси,Фурманова,провулок
63fd0ccf8cbfb5572cacb586,7110100000,Черкаси,Чалова,провулок
63fd0ccf8cbfb5572cacb598,7110100000,Черкаси,Ярослава Галана,вулиця
63fd0ccf8cbfb5572cacb3fe,7110100000,Черкаси,2-го Українського фронту,вулиця
63fd0ccf8cbfb5572cacb42a,7110100000,Черкаси,Василя Симоненка,площа
63fd0ccf8cbfb5572cacb415,7110100000,Черкаси,Берегова,вулиця
63fd0ccf8cbfb5572cacb42f,7110100000,Черкаси,Вернигори,вулиця
63fd0ccf8cbfb5572cacb43b,7110100000,Черкаси,Ворошилова,вулиця
63fd0ccf8cbfb5572cacb447,7110100000,Черкаси,Героїв Сталінграда,вулиця
63fd0ccf8cbfb5572cacb454,7110100000,Черкаси,Гризодубової,вулиця
63fd0ccf8cbfb5572cacb470,7110100000,Черкаси,Зв’язківців,провулок
63fd0ccf8cbfb5572cacb487,7110100000,Черкаси,Кавказька,вулиця
63fd0ccf8cbfb5572cacb4ab,7110100000,Черкаси,Кропивницького,провулок
63fd0ccf8cbfb5572cacb4bb,7110100000,Черкаси,Ломоносова,провулок
63fd0ccf8cbfb5572cacb4c1,7110100000,Черкаси,Макарова,провулок
63fd0ccf8cbfb5572cacb4ce,7110100000,Черкаси,Мисливський,узвіз
63fd0ccf8cbfb5572cacb4d9,7110100000,Черкаси,Морозова,провулок
63fd0ccf8cbfb5572cacb506,7110100000,Черкаси,Підгірна,вулиця
63fd0ccf8cbfb5572cacb511,7110100000,Черкаси,Половецький,провулок
63fd0ccf8cbfb5572cacb524,7110100000,Черкаси,Пушкіна,провулок
63fd0ccf8cbfb5572cacb52e,7110100000,Черкаси,Рильського,провулок
63fd0ccf8cbfb5572cacb532,7110100000,Черкаси,Рози Люксембург,провулок
63fd0ccf8cbfb5572cacb53d,7110100000,Черкаси,Сарматський,провулок
63fd0ccf8cbfb5572cacb56a,7110100000,Черкаси,Титова,вулиця
63fd0ccf8cbfb5572cacb578,7110100000,Черкаси,Фрунзе,вулиця
63fd0ccf8cbfb5572cacb588,7110100000,Черкаси,Чекістів,вулиця
63fd0ccf8cbfb5572cacb58a,7110100000,Черкаси,Черепіна,вулиця
63fd0ccf8cbfb5572cacb3ff,7110100000,Черкаси,30-річчя Перемоги,вулиця
63fd0ccf8cbfb5572cacb438,7110100000,Черкаси,Волкова,провулок
63fd0ccf8cbfb5572cacb459,7110100000,Черкаси,Грузиненка,вулиця
63fd0ccf8cbfb5572cacb45e,7110100000,Черкаси,Десантників,вулиця
63fd0ccf8cbfb5572cacb476,7110100000,Черкаси,Змагайлівський,провулок
63fd0ccf8cbfb5572cacb47c,7110100000,Черкаси,ІV-й Комсомольський,провулок
63fd0ccf8cbfb5572cacb47d,7110100000,Черкаси,Івана Котляревського,вулиця
63fd0ccf8cbfb5572cacb489,7110100000,Черкаси,Калініна,вулиця
63fd0ccf8cbfb5572cacb48d,7110100000,Черкаси,Кармелюка,провулок
63fd0ccf8cbfb5572cacb49f,7110100000,Черкаси,Космонавтів,провулок
63fd0ccf8cbfb5572cacb4a8,7110100000,Черкаси,Кривий,провулок
63fd0ccf8cbfb5572cacb4ad,7110100000,Черкаси,Крупської,провулок
63fd0ccf8cbfb5572cacb4b8,7110100000,Черкаси,Лісова,вулиця
63fd0ccf8cbfb5572cacb4d0,7110100000,Черкаси,Михайла Ткалича,вулиця
63fd0ccf8cbfb5572cacb4d5,7110100000,Черкаси,Молдавський,провулок
63fd0ccf8cbfb5572cacb4e6,7110100000,Черкаси,Оборонна,вулиця
63fd0ccf8cbfb5572cacb4ed,7110100000,Черкаси,Осипенка,провулок
63fd0ccf8cbfb5572cacb50c,7110100000,Черкаси,Поднєвича,вулиця
63fd0ccf8cbfb5572cacb510,7110100000,Черкаси,Поліська,вулиця
63fd0ccf8cbfb5572cacb51b,7110100000,Черкаси,Пржевальського,провулок
63fd0ccf8cbfb5572cacb523,7110100000,Черкаси,Пушкіна,вулиця
63fd0ccf8cbfb5572cacb539,7110100000,Черкаси,Садова,вулиця
63fd0ccf8cbfb5572cacb549,7110100000,Черкаси,Слави,вулиця
63fd0ccf8cbfb5572cacb55e,7110100000,Черкаси,Суворова,провулок
63fd0ccf8cbfb5572cacb565,7110100000,Черкаси,Танкістів,вулиця
63fd0ccf8cbfb5572cacb568,7110100000,Черкаси,Тельмана,провулок
63fd0ccf8cbfb5572cacb580,7110100000,Черкаси,Хоменка,провулок
63fd0ccf8cbfb5572cacb589,7110100000,Черкаси,Червоноармійська,вулиця
63fd0ccf8cbfb5572cacb596,7110100000,Черкаси,Яблунева,вулиця
63fd0ccf8cbfb5572cacb45a,7110100000,Черкаси,Дахнівська,вулиця
63fd0ccf8cbfb5572cacb45b,7110100000,Черкаси,Дачний,провулок
63fd0ccf8cbfb5572cacb467,7110100000,Черкаси,Енергобудівельників,проїзд
63fd0ccf8cbfb5572cacb46f,7110100000,Черкаси,Західний,провулок
63fd0ccf8cbfb5572cacb473,7110100000,Черкаси,Зелінського,провулок
63fd0ccf8cbfb5572cacb479,7110100000,Черкаси,Зоряна,вулиця
63fd0ccf8cbfb5572cacb499,7110100000,Черкаси,Конєва,вулиця
63fd0ccf8cbfb5572cacb4c7,7110100000,Черкаси,Маршала Рокосовського,вулиця
63fd0ccf8cbfb5572cacb4d6,7110100000,Черкаси,Молодіжний,провулок
63fd0ccf8cbfb5572cacb4ef,7110100000,Черкаси,Островського,вулиця
63fd0ccf8cbfb5572cacb4f1,7110100000,Черкаси,Павлова,провулок
63fd0ccf8cbfb5572cacb4f6,7110100000,Черкаси,Парковий,провулок
63fd0ccf8cbfb5572cacb4fe,7110100000,Черкаси,Пацаєва,провулок
63fd0ccf8cbfb5572cacb535,7110100000,Черкаси,Руднєва,вулиця
63fd0ccf8cbfb5572cacb538,7110100000,Черкаси,Рябоконя,вулиця
63fd0ccf8cbfb5572cacb540,7110100000,Черкаси,Серафимовича,провулок
63fd0ccf8cbfb5572cacb548,7110100000,Черкаси,Скіфський,провулок
63fd0ccf8cbfb5572cacb56e,7110100000,Черкаси,Толстого,вулиця
63fd0ccf8cbfb5572cacb577,7110100000,Черкаси,Фруктовий,провулок
63fd0ccf8cbfb5572cacb57d,7110100000,Черкаси,Хіміків,проспект
63fd0ccf8cbfb5572cacb583,7110100000,Черкаси,Ціолковського,вулиця
63fd0ccf8cbfb5572cacb403,7110100000,Черкаси,I-й Одеський,провулок
63fd0ccf8cbfb5572cacb413,7110100000,Черкаси,Балакірева,вулиця
